SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-26-2022,Single Family Residential,5252 Harrison,Lawrenceville,PA,15201,395000,3,2,Lawrenceville,1680,792,1900,,235,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5252-Harrison-St-15201/home/74734536,West Penn MLS,1565600,N,Y,40.4816559,-79.9542547
PAST SALE,,Single Family Residential,5336 Keystone St,Lawrenceville,PA,15201,,2,1,,1500,3220,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5336-Keystone-St-15201/home/74734700,West Penn MLS,,N,Y,40.4815878,-79.9497636
PAST SALE,September-23-2022,Single Family Residential,5231 Carnegie St,Lawrenceville,PA,15201,299000,2,2,Lawrenceville,1120,840,1890,,267,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5231-Carnegie-St-15201/home/74734824,West Penn MLS,1569860,N,Y,40.4806728,-79.9531403
PAST SALE,July-8-2022,Single Family Residential,1545 Wardsons St,Lincoln-larimer,PA,15206,167000,2,1,Lincoln-Larimer,996,2962,1940,,168,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1545-Wardsons-St-15206/home/74513345,West Penn MLS,1547632,N,Y,40.4724884,-79.8971094
PAST SALE,October-13-2022,Townhouse,1337 Manning St,Lincoln-larimer,PA,15206,40000,3,1.5,Lincoln-Larimer,1200,2326,1945,,33,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1337-Manning-St-15206/home/74513671,West Penn MLS,1574279,N,Y,40.468093,-79.8974656
PAST SALE,September-29-2022,Single Family Residential,7036 Kedron St,Homewood-brushton,PA,15208,55000,4,1,Homewood-Brushton,1542,1860,1900,,36,,Sold,,,https://www.redfin.com/PA/Pittsburgh/7036-Kedron-St-15208/home/74514345,West Penn MLS,1552186,N,Y,40.4614705,-79.8985527
PAST SALE,November-10-2021,Single Family Residential,411 N Homewood Ave,Point Breeze,PA,15208,228000,3,1,Point Breeze,,,1930,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/411-N-Homewood-Ave-15208/home/74515431,West Penn MLS,1520498,N,Y,40.4523632,-79.8993918
PAST SALE,June-2-2021,Single Family Residential,4319 Luster,Squirrel Hill,PA,15217,455100,3,2.5,Squirrel Hill,1689,,1909,,269,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4319-Luster-St-15217/home/73510431,West Penn MLS,1492265,N,Y,40.4211159,-79.9225496
PAST SALE,May-3-2021,Single Family Residential,515 Bigelow St,Greenfield,PA,15207,230000,3,2,Greenfield,1232,,1940,,187,,Sold,,,https://www.redfin.com/PA/Pittsburgh/515-Bigelow-St-15207/home/73554960,West Penn MLS,1490146,N,Y,40.4192079,-79.9392287
PAST SALE,June-7-2021,Condo/Co-op,5619 Kentucky Ave #108,Shadyside,PA,15232,221000,2,2,Shadyside,1274,435,1970,,173,686,Sold,,,https://www.redfin.com/PA/Pittsburgh/5619-Kentucky-Ave-15232/unit-108/home/73583517,West Penn MLS,1485047,N,Y,40.4505865,-79.9305944
PAST SALE,May-6-2021,Single Family Residential,200 Lingrove Pl,Point Breeze,PA,15208,712500,4,4.5,Point Breeze,2242,6098,1925,,318,,Sold,,,https://www.redfin.com/PA/Pittsburgh/200-Lingrove-Pl-15208/home/74475465,West Penn MLS,1489795,N,Y,40.4514035,-79.9105027
PAST SALE,December-29-2020,Multi-Family (2-4 Unit),432 Ross Ave,Wilkinsburg,PA,15221,187000,5,3,Wilkinsburg,,3920,1897,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/432-Ross-Ave-15221/home/74516077,West Penn MLS,1469310,N,Y,40.4437643,-79.8885912
PAST SALE,,Single Family Residential,3919 Winterburn Ave,Pittsburgh,PA,15207,208000,3,1.5,,2016,2750,1925,,103,,,,,https://www.redfin.com/PA/Pittsburgh/3919-Winterburn-Ave-15207/home/74673826,,,N,Y,40.4273306,-79.9394991
